"Treat" "tot04" "tot08" "tot12" "adt04" "adt08" "adt12" "length" "width" "speed" "shoulder" "driveways" "intersections" "curves" "curvature"
"47" 0 0 0 0 6127 5319 4695.66666666667 0.344 ">= 24" "High" "> 6" "> 10" ">= 1" ">= 1" 1.06236
"48" 0 1 1 0 8266 9109 8906.33333333333 0.721 "> 20 and < 24" "High" "> 3 and <= 6" "> 10" ">= 1" "None" 0
"49" 0 2 0 1 8266 9109 8906.33333333333 0.634 "> 20 and < 24" "High" "> 6" "> 0 and <= 10" "None" "None" 0
"50" 0 0 0 0 2054 1920 1907.33333333333 0.422 "<= 20" "Low" "<= 3" "> 10" "None" "None" 0
"51" 0 1 0 0 2054 1920 1907.33333333333 0.211 "<= 20" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"52" 0 0 0 1 4261 3167 2547.16666666667 0.398 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" ">= 1" ">= 1" 7.08763
"53" 0 0 0 0 2651 2738 2180.66666666667 0.554 "<= 20" "Low" "> 3 and <= 6" "> 0 and <= 10" ">= 1" ">= 1" 3.03936
"54" 0 1 1 0 2651 2738 2362.66666666667 0.468 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 2.49264
"55" 0 0 2 0 2651 2738 2362.66666666667 0.455 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" ">= 1" ">= 1" 9.12042
"56" 0 0 2 0 6131 6022 6010.66666666667 0.393 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 4.61569
"57" 0 0 1 0 5570 5754 5475 0.427 "> 20 and < 24" "High" "> 6" "> 0 and <= 10" "None" "None" 0
"58" 0 0 1 0 5570 5754 5475 0.331 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" "None" 0
"59" 0 0 0 2 5570 5754 5475 0.5 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" "None" "None" 0
"60" 0 0 1 0 3505 3621 3402.66666666667 0.684 "<= 20" "Low" "> 3 and <= 6" "> 0 and <= 10" ">= 1" ">= 1" 16.7064
"61" 0 0 1 0 3505 3621 3402.66666666667 0.662 "<= 20" "Low" "> 3 and <= 6" "> 10" "None" ">= 1" 10.5678
"62" 0 0 0 0 3505 3621 3402.66666666667 0.702 "<= 20" "Low" "<= 3" "> 10" "None" ">= 1" 7.48509
"63" 0 0 1 0 4943 5040 5022 0.462 "> 20 and < 24" "Low" "> 6" "> 0 and <= 10" "None" "None" 0
"64" 0 1 0 0 4943 5040 5022 0.478 "> 20 and < 24" "Low" "> 6" "> 0 and <= 10" "None" ">= 1" 6.08368
"65" 0 1 2 0 945 876 942.833333333333 0.673 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" ">= 1" ">= 1" 12.6089
"66" 0 0 0 0 945 876 874.333333333333 0.731 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" ">= 1" 5.99037
"67" 0 1 0 0 945 876 874.333333333333 0.72 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 4.11225
"68" 0 0 1 0 945 876 874.333333333333 0.471 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" ">= 1" 8.82997
"69" 0 0 1 0 945 876 874.333333333333 0.581 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" "None" 0
"70" 0 3 0 0 1163 1184 1130.66666666667 0.667 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" ">= 1" ">= 1" 6.84344
"71" 0 0 0 1 1132 1055 1074.33333333333 0.313 "<= 20" "Low" "> 3 and <= 6" "> 0 and <= 10" ">= 1" "None" 0
"72" 0 2 0 0 1561 1613 1415.33333333333 0.682 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 3.60676
"73" 0 0 0 1 1561 1613 1415.33333333333 0.74 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 4.34382
"74" 0 0 0 0 1561 1613 1415.33333333333 0.734 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" ">= 1" ">= 1" 5.69001
"75" 0 0 0 0 1561 1613 1415.33333333333 0.421 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" ">= 1" 5.90967
"76" 0 2 0 0 1561 1613 1415.33333333333 0.364 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" ">= 1" 2.95213
"77" 0 0 1 1 6898 6431 6219.33333333333 0.394 ">= 24" "High" "> 3 and <= 6" "> 10" "None" ">= 1" 3.74053
"78" 0 1 0 0 1334 1358 1378.66666666667 0.376 "<= 20" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"79" 0 0 0 0 1334 1358 1378.66666666667 0.373 "<= 20" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"80" 0 0 0 0 1334 1358 1378.66666666667 0.426 "<= 20" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"81" 0 0 0 0 1334 1358 1378.66666666667 0.368 "<= 20" "Low" "<= 3" "> 0 and <= 10" "None" "None" 0
"82" 0 0 1 0 1334 1358 1378.66666666667 0.667 "<= 20" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" "None" 0
